contribution_id,member_id,amount,date
C000001,M00001,20000,2023-10-28
C000002,M00001,5000,2023-01-07
C000003,M00001,20000,2023-05-17
C000004,M00001,5000,2023-03-24
C000005,M00002,10000,2023-02-23
C000006,M00002,20000,2024-02-23
C000007,M00002,5000,2024-05-21
C000008,M00002,5000,2023-05-07
C000009,M00002,15000,2024-01-02
C000010,M00002,5000,2024-01-14
C000011,M00003,5000,2023-02-08
C000012,M00003,15000,2023-05-31
C000013,M00003,20000,2024-04-24
C000014,M00003,20000,2023-02-16
C000015,M00003,5000,2024-01-01
C000016,M00003,20000,2023-10-26
C000017,M00004,10000,2024-05-17
C000018,M00004,10000,2023-12-04
C000019,M00004,20000,2023-10-02
C000020,M00004,15000,2024-03-18
C000021,M00004,10000,2024-05-18
C000022,M00004,10000,2024-01-22
C000023,M00005,5000,2023-10-22
C000024,M00005,5000,2023-07-06
C000025,M00005,10000,2024-03-20
C000026,M00005,15000,2023-12-29
C000027,M00005,10000,2023-07-07
C000028,M00005,10000,2024-02-24
C000029,M00006,5000,2023-07-04
C000030,M00006,20000,2023-08-02
C000031,M00006,5000,2023-05-15
C000032,M00006,20000,2023-03-29
C000033,M00006,5000,2023-07-26
C000034,M00007,10000,2023-01-21
C000035,M00007,15000,2024-03-30
C000036,M00007,20000,2023-10-30
C000037,M00007,5000,2023-03-10
C000038,M00007,20000,2023-07-15
C000039,M00008,10000,2023-11-07
C000040,M00008,20000,2024-01-24
C000041,M00008,10000,2023-06-26
C000042,M00008,15000,2023-11-10
C000043,M00008,5000,2023-04-07
C000044,M00008,5000,2023-08-01
C000045,M00009,5000,2024-04-01
C000046,M00009,5000,2023-08-27
C000047,M00009,15000,2024-01-07
C000048,M00009,5000,2023-02-14
C000049,M00009,20000,2023-09-04
C000050,M00009,5000,2024-03-25
C000051,M00009,10000,2023-01-18
C000052,M00009,10000,2023-10-16
C000053,M00010,10000,2024-05-13
C000054,M00011,20000,2023-08-22
C000055,M00011,10000,2023-01-11
C000056,M00011,15000,2023-09-04
C000057,M00012,5000,2023-06-24
C000058,M00012,15000,2024-04-25
C000059,M00012,10000,2023-07-14
C000060,M00012,10000,2023-06-24
C000061,M00012,5000,2024-03-24
C000062,M00013,5000,2023-11-13
C000063,M00013,20000,2023-10-22
C000064,M00013,5000,2023-10-09
C000065,M00013,5000,2023-03-12
C000066,M00013,10000,2023-11-21
C000067,M00013,15000,2023-11-01
C000068,M00014,15000,2024-06-12
C000069,M00014,15000,2024-06-20
C000070,M00014,15000,2024-01-22
C000071,M00015,15000,2023-12-30
C000072,M00015,10000,2023-07-18
C000073,M00015,15000,2024-02-17
C000074,M00015,15000,2024-03-04
C000075,M00015,5000,2023-05-19
C000076,M00015,20000,2023-02-26
C000077,M00015,20000,2024-03-10
C000078,M00015,20000,2023-07-13
C000079,M00015,10000,2024-06-17
C000080,M00016,5000,2023-11-29
C000081,M00016,20000,2023-12-01
C000082,M00016,15000,2023-08-09
C000083,M00016,15000,2023-11-19
C000084,M00016,10000,2023-01-03
C000085,M00017,15000,2024-04-23
C000086,M00017,15000,2023-04-06
C000087,M00017,15000,2024-02-18
C000088,M00017,20000,2023-03-03
C000089,M00017,15000,2023-12-14
C000090,M00018,10000,2024-04-24
C000091,M00018,5000,2024-05-14
C000092,M00018,5000,2023-12-21
C000093,M00018,20000,2023-07-30
C000094,M00018,5000,2023-02-13
C000095,M00018,5000,2023-04-02
C000096,M00018,10000,2023-08-08
C000097,M00019,15000,2023-09-26
C000098,M00019,20000,2023-02-23
C000099,M00019,20000,2024-06-03
C000100,M00019,5000,2023-02-28
C000101,M00019,5000,2023-02-09
C000102,M00019,10000,2024-01-21
C000103,M00019,15000,2023-10-27
C000104,M00019,20000,2023-07-26
C000105,M00019,10000,2024-05-28
C000106,M00020,10000,2023-05-09
C000107,M00020,5000,2023-06-05
C000108,M00020,10000,2024-01-13
C000109,M00020,15000,2024-03-12
C000110,M00020,20000,2023-07-26
C000111,M00020,15000,2024-04-24
C000112,M00020,10000,2023-12-06
C000113,M00020,20000,2023-12-06
C000114,M00021,20000,2024-02-09
C000115,M00021,20000,2024-05-31
C000116,M00021,10000,2023-04-30
C000117,M00022,20000,2023-01-27
C000118,M00022,5000,2023-10-26
C000119,M00022,20000,2023-04-01
C000120,M00022,15000,2024-04-02
C000121,M00022,15000,2023-12-31
C000122,M00022,15000,2023-12-17
C000123,M00022,5000,2024-02-04
C000124,M00022,15000,2024-04-03
C000125,M00022,10000,2024-05-13
C000126,M00022,20000,2024-05-22
C000127,M00023,10000,2024-02-19
C000128,M00024,20000,2024-05-29
C000129,M00024,10000,2023-05-05
C000130,M00024,5000,2023-12-05
C000131,M00024,5000,2023-03-09
C000132,M00024,15000,2024-01-18
C000133,M00025,15000,2023-07-10
C000134,M00025,10000,2023-04-23
C000135,M00025,10000,2024-04-12
C000136,M00025,15000,2023-01-14
C000137,M00025,15000,2023-10-15
C000138,M00025,10000,2023-07-08
C000139,M00025,15000,2023-06-04
C000140,M00026,5000,2024-05-25
C000141,M00026,10000,2023-07-01
C000142,M00026,15000,2023-03-05
C000143,M00026,5000,2023-09-17
C000144,M00027,10000,2024-02-08
C000145,M00027,5000,2023-04-22
C000146,M00027,15000,2024-01-10
C000147,M00027,15000,2023-02-12
C000148,M00027,10000,2023-10-23
C000149,M00028,20000,2023-05-30
C000150,M00028,5000,2023-01-08
C000151,M00028,10000,2023-10-23
C000152,M00028,20000,2023-12-06
C000153,M00028,20000,2024-03-14
C000154,M00028,20000,2024-06-02
C000155,M00028,15000,2023-02-14
C000156,M00028,20000,2023-08-27
C000157,M00028,5000,2023-06-04
C000158,M00029,15000,2024-04-09
C000159,M00029,15000,2023-08-11
C000160,M00029,15000,2023-09-21
C000161,M00029,20000,2024-01-01
C000162,M00030,10000,2023-04-08
C000163,M00030,20000,2023-03-12
C000164,M00030,10000,2023-10-03
C000165,M00030,20000,2023-12-24
C000166,M00030,20000,2024-04-29
C000167,M00030,20000,2023-10-23
C000168,M00031,10000,2023-03-01
C000169,M00031,20000,2023-02-08
C000170,M00031,20000,2023-02-18
C000171,M00031,20000,2023-01-13
C000172,M00032,15000,2023-01-31
C000173,M00032,20000,2023-01-11
C000174,M00032,20000,2023-10-29
C000175,M00032,5000,2023-07-09
C000176,M00032,10000,2023-07-11
C000177,M00032,20000,2023-09-23
C000178,M00033,15000,2024-03-21
C000179,M00033,5000,2023-05-25
C000180,M00034,10000,2023-07-03
C000181,M00034,20000,2023-03-30
C000182,M00034,15000,2024-06-13
C000183,M00035,15000,2024-05-17
C000184,M00035,5000,2024-06-08
C000185,M00035,5000,2023-02-01
C000186,M00036,15000,2023-07-20
C000187,M00036,10000,2024-03-03
C000188,M00036,20000,2023-07-30
C000189,M00037,10000,2023-08-17
C000190,M00037,10000,2023-07-07
C000191,M00037,15000,2023-09-27
C000192,M00037,20000,2023-11-06
C000193,M00037,5000,2023-03-13
C000194,M00037,10000,2023-07-06
C000195,M00038,20000,2024-02-10
C000196,M00038,20000,2024-02-26
C000197,M00038,20000,2023-09-04
C000198,M00038,10000,2023-07-04
C000199,M00038,20000,2023-07-25
C000200,M00039,15000,2023-12-11
C000201,M00039,10000,2023-10-14
C000202,M00039,15000,2024-05-01
C000203,M00039,20000,2024-02-10
C000204,M00039,5000,2024-06-08
C000205,M00039,20000,2023-10-03
C000206,M00040,20000,2023-02-27
C000207,M00040,15000,2023-04-19
C000208,M00040,20000,2023-11-24
C000209,M00040,10000,2023-11-11
C000210,M00041,5000,2023-06-05
C000211,M00041,15000,2023-09-29
C000212,M00042,20000,2024-04-11
C000213,M00042,5000,2023-05-23
C000214,M00042,10000,2023-06-29
C000215,M00042,15000,2023-12-30
C000216,M00042,20000,2024-04-15
C000217,M00042,5000,2024-02-21
C000218,M00042,5000,2023-11-04
C000219,M00043,20000,2023-04-08
C000220,M00043,20000,2023-09-22
C000221,M00044,15000,2023-03-13
C000222,M00044,20000,2023-07-09
C000223,M00045,15000,2024-02-28
C000224,M00045,10000,2024-01-25
C000225,M00045,20000,2024-05-07
C000226,M00045,10000,2024-05-13
C000227,M00045,5000,2023-08-21
C000228,M00045,15000,2023-08-15
C000229,M00046,10000,2023-09-30
C000230,M00046,20000,2023-05-27
C000231,M00046,10000,2023-01-28
C000232,M00047,20000,2023-04-15
C000233,M00047,20000,2023-09-04
